Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BUZ1,HNB09A03,BUZ-TH_BD9.0-P5.00-D0.6-FD,104.496373,-111.103629,0.0,top
C1,22uF,C_0603_1608Metric,119.6,-121.0,270.0,bottom
C2,10uF,C_0805_2012Metric,130.2,-107.8,0.0,bottom
C3,220uF,CP_Elec_8x10.5,117.4,-112.8,0.0,top
C4,220uF,CP_Elec_8x10.5,114.0,-138.8,-90.0,top
C5,100nF,C_0402_1005Metric,109.4,-146.0,90.0,bottom
C6,100nF,C_0402_1005Metric,122.9,-123.92,90.0,bottom
C7,100nF,C_0402_1005Metric,121.5,-123.92,90.0,bottom
C8,100nF,C_0402_1005Metric,125.2,-113.6,270.0,bottom
C9,100nF,C_0402_1005Metric,119.2,-116.6,0.0,bottom
C10,100nF,C_0402_1005Metric,109.4,-148.0,270.0,bottom
D1,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,134.2,-108.2,180.0,bottom
L1,2.2uH,IND-SMD_L3.0-W3.0,131.2,-114.2,90.0,bottom
L2,33uH,IND-SMD_L11.5-W10.0_SMMS1040,123.0,-128.4,-90.0,top
P1,WJ124-3_81-6P,CONN-TH_6P-P3.81_WJ124-3.81-6P,119.354432,-104.199962,90.0,top
R1,100k,R_0603_1608Metric,127.4,-112.6,180.0,bottom
R2,10k,R_0603_1608Metric,121.0,-108.2,270.0,bottom
R3,10k,R_0603_1608Metric,114.6,-106.2,180.0,bottom
R4,10k,R_0603_1608Metric,110.2,-109.6,90.0,top
R5,10k,R_0603_1608Metric,136.8,-110.8,90.0,bottom
R6,10k,R_0603_1608Metric,117.425,-101.4,0.0,bottom
R8,10k,R_0603_1608Metric,108.4,-144.2,0.0,bottom
R9,51,R_0603_1608Metric,125.225,-141.2,0.0,top
R10,51,R_0603_1608Metric,125.225,-143.2,0.0,top
R11,100,R_0603_1608Metric,125.225,-145.2,0.0,top
R12,0603WAF5101T5E,R0603,130.8,-119.0,180.0,bottom
R13,0603WAF5101T5E,R0603,130.8,-117.4,180.0,bottom
R14,30k,R_0603_1608Metric,113.8,-101.6,0.0,bottom
R15,10k,R_0603_1608Metric,110.2,-101.6,0.0,bottom
R16,10k,R_0603_1608Metric,128.15,-101.6,0.0,bottom
R17,30k,R_0603_1608Metric,124.6,-101.4,0.0,bottom
R18,10k,R_0603_1608Metric,121.0,-101.6,0.0,bottom
U1,TPS62172DSGR,WSON-8_L2.0-W2.0-P0.50-TL-EP,131.194869,-110.086894,0.0,bottom
U2,ESP32-S2-SOLO-2-N4,WIRELM-SMD_ESP32-S3-WROOM-1,119.57881,-142.663582,180.0,bottom
U3,BMI088,LGA-16_L4.5-W3.0-P0.50-BL,122.804103,-115.302159,0.0,bottom
U4,BMP280,LGA-8_L2.5-W2.0-P0.65_AMP6127,122.6,-126.336513,270.0,bottom
U5,TF_PUSH,TF-SMD_TF-PUSH,110.0,-120.6,90.0,bottom
U6,LM2596S-5_0,TO-263-5_L10.2-W8.9-P1.70-BR,109.554305,-123.0,180.0,top
U7,AP20P30Q,DFN-8_L3.3-W3.0-P0.65-LS3.3-BL-EP,123.6,-107.98354,0.0,bottom
U8,2N7002KDW_72K,SOT-363_L2.1-W1.3-P0.65-LS2.3-BL,126.893588,-106.527192,0.0,bottom
U9,SS-12D10L3,SW-TH_SS-12D10L3,127.429984,-114.829984,90.0,top
U10,MSK12C02-HB,SW-TH_MSK12C02-HB-1,134.866955,-111.6,90.0,top
U11,SS54_C22452,SMA_L4.4-W2.8-LS5.4-R-RD,110.0,-109.4,0.0,bottom
U12,AP20P30Q,DFN-8_L3.3-W3.0-P0.65-LS3.3-BL-EP,118.025019,-108.148564,0.0,bottom
U14,FC-B1010RGBT-HG,LED-ARRAY-SMD_4P-L1.0-W1.0-TR-RD,127.225037,-148.400254,-90.0,top
U15,TYPE-C_14PLC-H10_0,USB-C-TH_SHOUHAN_TYPE-C-14PLC-H10.0,135.099975,-121.250547,90.0,top
